City,Country,Cloudiness,Date,Humidity,Lat,Lng,Temp,Max Temp,Wind Speed
Barrow,US,1,1579917160,68,71.29,-156.79,-18.4,-18.4,10.29
Victoria,SC,20,1579917460,83,-4.62,55.45,82.4,82.4,3.36
Ternate,ID,41,1579917460,58,0.8,127.4,87.67,87.67,5.39
Puerto Ayora,EC,23,1579917460,57,-0.74,-90.35,77.0,77.0,1.01
Avarua,CK,80,1579917174,88,-21.21,-159.78,82.4,82.4,8.05
Saint-Augustin,CA,11,1579917460,74,51.23,-58.65,4.33,4.33,10.18
Punta Arenas,CL,20,1579917265,76,-53.15,-70.92,48.09,48.2,10.38
Luderitz,NA,0,1579917461,93,-26.65,15.16,66.2,66.2,3.36
Aksarka,RU,83,1579917461,97,66.56,67.8,-0.11,-0.11,4.09
Kaifeng,CN,90,1579917291,64,34.79,114.35,35.6,35.6,4.47
Saldanha,ZA,18,1579917461,82,-33.01,17.94,66.2,66.2,11.41
Auki,SB,0,1579917461,72,-8.77,160.7,85.1,85.1,8.41
Morant Bay,JM,20,1579917461,69,17.88,-76.41,75.58,78.8,9.17
New Norfolk,AU,75,1579917461,38,-42.78,147.06,70.86,75.0,20.8
Monrovia,LR,20,1579917275,88,6.3,-10.8,77.0,77.0,0.74
Albany,AU,40,1579917462,64,-35.02,117.89,71.6,71.6,4.7
Karratha,AU,9,1579917462,78,-20.74,116.85,84.27,84.27,11.56
Iqaluit,CA,5,1579917462,67,63.75,-68.51,-27.2,-27.0,5.82
Kamaishi,JP,40,1579917462,43,39.27,141.88,35.6,35.6,11.41
Inongo,CD,100,1579917462,54,-1.95,18.27,70.25,70.25,1.19
Hobart,AU,75,1579917462,38,-42.88,147.33,71.1,75.0,20.8
Abonnema,NG,32,1579917462,83,4.71,6.79,71.6,71.6,4.54
Cidreira,BR,0,1579917462,70,-30.18,-50.21,72.99,72.99,2.13
Nailon,PH,0,1579917463,70,11.05,124.04,84.0,84.0,9.8
Fortuna,US,90,1579917463,87,40.6,-124.16,55.76,59.0,4.85
Faanui,PF,6,1579917463,77,-16.48,-151.75,82.33,82.33,12.59
Ushuaia,AR,75,1579917280,81,-54.8,-68.3,48.2,48.2,5.82
Grandola,PT,90,1579917463,100,38.18,-8.57,46.18,46.4,5.82
Fuyang,CN,100,1579917464,63,32.9,115.82,42.87,42.87,11.36
Rikitea,PF,43,1579917235,76,-23.12,-134.97,78.58,78.58,13.42
Norman Wells,CA,90,1579917464,76,65.28,-126.83,-7.6,-7.6,5.82
La Tuque,CA,100,1579917464,97,47.43,-72.78,20.25,20.25,3.27
Busselton,AU,0,1579917165,31,-33.65,115.33,80.28,84.0,5.37
Sana,PE,22,1579917464,29,-6.92,-79.58,66.2,66.2,14.99
Vaini,TO,40,1579917464,74,-21.2,-175.2,84.2,84.2,9.17
Evensk,RU,100,1579917464,94,61.95,159.23,5.83,5.83,18.61
Jamestown,SH,99,1579917464,71,-15.94,-5.72,73.98,73.98,6.46
Kautokeino,NO,100,1579917465,74,69.01,23.04,14.09,14.09,1.34
Petropavlovsk-Kamchatsky,RU,100,1579917465,53,53.05,158.65,21.2,21.2,4.47
Bluff,NZ,73,1579917291,63,-46.6,168.33,66.99,66.99,5.01
Margate,ZA,97,1579917465,76,-30.86,30.37,77.49,77.49,26.24
Cherskiy,RU,100,1579917465,93,68.75,161.3,-30.15,-30.15,3.02
Mirny,RU,100,1579917465,82,62.54,113.96,-25.6,-25.6,6.71
Yumen,CN,0,1579917465,54,40.28,97.2,22.06,22.06,11.41
Rio Gallegos,AR,30,1579917465,76,-51.62,-69.22,50.0,50.0,13.87
Butaritari,KI,100,1579917465,71,3.07,172.79,84.51,84.51,3.96
Atuona,PF,0,1579917466,77,-9.8,-139.03,80.96,80.96,12.8
Chokurdakh,RU,9,1579917466,95,70.63,147.92,-35.55,-35.55,2.53
Los Llanos de Aridane,ES,0,1579917466,63,28.66,-17.92,60.8,60.8,8.05
Hermanus,ZA,0,1579917466,97,-34.42,19.23,64.9,66.0,1.32
Ribeira Grande,PT,100,1579917177,87,38.52,-28.7,57.09,57.09,15.19
Hilo,US,90,1579917466,69,19.73,-155.09,72.88,77.0,9.17
Mendi,ET,68,1579917466,50,9.8,35.1,54.03,54.03,0.25
Bethel,US,5,1579917466,48,41.37,-73.41,35.62,41.0,9.17
Cape Town,ZA,20,1579917466,93,-33.93,18.42,62.8,66.0,5.82
Tessalit,ML,85,1579917467,12,20.2,1.01,72.77,72.77,12.5
Thaton,MM,72,1579917467,28,16.92,97.37,80.46,80.46,2.17
Kuusamo,FI,90,1579917467,92,65.97,29.18,8.6,8.6,2.24
Esperance,AU,40,1579917294,57,-33.87,121.9,75.2,75.2,3.36
General Roca,AR,0,1579917467,20,-39.03,-67.58,86.0,86.0,11.41
Sangar,RU,0,1579917467,93,63.92,127.47,-38.07,-38.07,4.45
College,US,75,1579917167,70,64.86,-147.8,-2.09,1.4,8.05
Acapulco de Juarez,MX,40,1579917467,74,16.86,-99.89,80.6,80.6,3.67
Porbandar,IN,0,1579917468,46,21.64,69.61,70.7,70.7,8.77
Georgetown,SH,100,1579917468,81,-7.93,-14.42,78.01,78.01,13.47
Chui,UY,0,1579917468,87,-33.7,-53.46,70.02,70.02,11.23
Bambous Virieux,MU,75,1579917468,94,-20.34,57.76,79.84,80.6,19.46
Arrondissement de Villefranche-de-Rouergue,FR,67,1579917468,86,44.33,2.0,40.42,43.0,5.82
Mar del Plata,AR,40,1579917320,78,-38.0,-57.56,69.84,75.2,4.7
Villa Juarez,MX,90,1579917468,77,24.65,-107.54,67.03,69.8,6.93
Bud,NO,100,1579917468,64,62.91,6.91,35.92,39.2,12.75
Alofi,NU,100,1579917469,86,-19.06,-169.92,80.46,80.46,10.69
Coquimbo,CL,0,1579917190,82,-29.95,-71.34,66.2,66.2,6.93
Torbay,CA,20,1579917269,67,47.67,-52.73,19.81,21.99,6.93
Finschhafen,PG,100,1579917469,73,-6.6,147.87,83.64,83.64,2.06
